test_name	exit_code	elapsed_us
annexB_language_eval_code_direct_global_block_decl_eval_global_skip_early_err_for_in_js	0	24313
annexB_language_eval_code_direct_global_block_decl_eval_global_skip_early_err_block_js	0	18140
annexB_language_eval_code_direct_global_if_decl_else_decl_a_eval_global_block_scoping_js	0	22887
annexB_language_eval_code_direct_global_if_decl_else_decl_a_eval_global_existing_non_enumerable_global_init_js	0	54547
annexB_language_eval_code_direct_global_block_decl_eval_global_existing_fn_update_js	0	17410
annexB_language_eval_code_direct_global_block_decl_eval_global_skip_early_err_try_js	0	20647
annexB_language_eval_code_direct_global_if_decl_else_decl_b_eval_global_existing_fn_no_init_js	0	16137
annexB_language_eval_code_direct_global_if_decl_else_decl_a_eval_global_existing_fn_no_init_js	0	20948
annexB_language_eval_code_direct_global_block_decl_eval_global_skip_early_err_for_js	0	20154
annexB_language_eval_code_direct_global_if_decl_else_decl_a_eval_global_existing_block_fn_update_js	0	25625
annexB_language_eval_code_direct_global_block_decl_eval_global_existing_fn_no_init_js	0	19008
annexB_language_eval_code_direct_global_if_decl_else_decl_a_eval_global_existing_fn_update_js	0	17360
annexB_language_eval_code_direct_global_block_decl_eval_global_update_js	0	18345
annexB_language_eval_code_direct_global_if_decl_else_decl_a_eval_global_existing_var_update_js	0	17471
annexB_language_eval_code_direct_global_if_decl_else_decl_a_eval_global_skip_early_err_block_js	0	16371
annexB_language_eval_code_direct_global_if_decl_else_decl_a_eval_global_skip_early_err_for_of_js	0	16967
annexB_language_eval_code_direct_global_if_decl_else_decl_b_eval_global_existing_var_update_js	0	16896
annexB_language_eval_code_direct_global_if_decl_else_decl_b_eval_global_skip_early_err_block_js	0	17832
